accumbens_area_left accumbens_area_right amygdala_left amygdala_right basal_forebrain_left basal_forebrain_right Brain_stem caudal_anterior_cingulate_left caudal_anterior_cingulate_right caudal_middle_frontal_left caudal_middle_frontal_right caudate_left caudate_right cerebellar_vermal_lobules_I_V cerebellar_vermal_lobules_VIII_X cerebellar_vermal_lobules_VI_VII cerebellum_exterior_left cerebellum_exterior_right cerebellum_white_matter_left cerebellum_white_matter_right CSF cuneus_left cuneus_right depression entorhinal_left entorhinal_right fusiform_left fusiform_right gray_matter hippocampus_left hippocampus_right inferior_lateral_ventricle_left inferior_lateral_ventricle_right inferior_parietal_left inferior_parietal_right inferior_temporal_left inferior_temporal_right insula_left insula_right isthmus_cingulate_left isthmus_cingulate_right lateral_occipital_left lateral_occipital_right lateral_orbitofrontal_left lateral_orbitofrontal_right lateral_ventricle_left lateral_ventricle_right lingual_left lingual_right medial_orbitofrontal_left medial_orbitofrontal_right middle_temporal_left middle_temporal_right optic_chiasm pallidum_left pallidum_right paracentral_left paracentral_right parahippocampal_left parahippocampal_right pars_opercularis_left pars_opercularis_right pars_orbitalis_left pars_orbitalis_right pars_triangularis_left pars_triangularis_right pericalcarine_left pericalcarine_right postcentral_left postcentral_right posterior_cingulate_left posterior_cingulate_right precentral_left precentral_right precuneus_left precuneus_right putamen_left putamen_right rostral_anterior_cingulate_left rostral_anterior_cingulate_right rostral_middle_frontal_left rostral_middle_frontal_right superior_frontal_left superior_frontal_right superior_parietal_left superior_parietal_right superior_temporal_left superior_temporal_right supramarginal_left supramarginal_right thalamus_proper_left thalamus_proper_right total_brain_volume transverse_temporal_left transverse_temporal_right ventral_DC_left ventral_DC_right vessel_left vessel_right white_matter X3rd_ventricle X4th_ventricle
caudal_middle_frontal_right 0.00602 -0.01364 0.03189 0.02819 0.00129 -0.01445 -0.1078 0.11371 0.05818 0.47311 1 0.01337 0.02696 -0.07903 -0.07842 -0.06818 -0.10449 -0.10346 -0.1422 -0.13954 -0.04996 0.01495 0.01114 -9e-04 0.04613 0.04713 0.00638 0.01226 0.14405 0.01063 0.02485 0.00494 0.02421 -0.04968 -0.01312 0.07944 0.06353 0.06583 0.08006 0.0302 0.07013 0.01273 0.07642 0.13337 0.12299 -0.03013 -0.02669 -0.01759 0.0026 0.09468 0.02093 -0.01663 -0.00698 NA -0.04354 -0.04546 0.15399 0.15131 -0.03257 -0.04658 0.1461 0.11903 0.01746 -0.01805 0.11914 0.12892 0.01703 -0.00267 -0.02758 -0.01769 0.07628 0.04366 0.27498 0.2752 0.03426 0.04417 0.02882 0.03611 0.12215 0.06412 0.279 0.23876 0.19612 0.11622 0.10198 0.10723 0.07564 0.07952 -0.0506 -0.08928 0.02329 0.02583 -3e-04 0.0153 0.01408 -0.08232 -0.06942 0.01149 0.015 -0.03528 -0.00311 -0.0559
caudate_left 0.22368 0.2575 0.1 0.11369 -0.0045 0.02385 0.0689 -0.04829 -0.05054 0.00055 0.01337 1 0.80496 0.00173 0.07302 0.02196 0.05685 0.05298 0.03811 0.03333 -0.02455 -0.03494 -0.03639 -0.00084 -0.04839 -0.08028 -0.00751 -0.01416 -0.12897 0.17295 0.15944 0.12659 0.10015 0.06279 0.04679 -0.07509 -0.05343 0.12794 0.10646 0.01857 0.007 -0.00924 -0.02542 -0.01552 -0.00473 0.2246 0.20687 -0.02218 -0.02912 0.03972 0.03796 -0.02141 -0.01973 NA 0.26547 0.26616 0.00156 -0.00979 0.02096 0.0436 -0.00466 -0.02761 -0.0088 -0.00926 0.03629 0.01748 -0.05713 -0.02121 -0.09499 -0.07872 -0.0253 -0.01737 0.01892 0.01301 0.0143 0.00571 0.31318 0.30476 0.00449 0.00903 -0.02129 -0.02728 -0.02122 -0.01944 -0.10489 -0.09253 0.02226 0.02537 -0.04109 -0.00343 0.16468 0.17934 0.00501 -0.00112 -0.00799 0.15994 0.16197 0.03631 0.02484 0.08815 0.13271 0.10094
caudate_right 0.13221 0.1407 0.08961 0.09311 -0.00129 0.04078 -0.00479 -0.04235 -0.05739 -0.00794 0.02696 0.80496 1 -0.01378 0.05708 0.00848 0.03346 0.02956 -0.01395 -0.01492 -0.02712 -0.06782 -0.05093 1e-04 -0.05449 -0.08828 -0.01387 -0.02236 -0.14143 0.14846 0.12979 0.1923 0.14382 0.03604 0.04826 -0.07097 -0.06162 0.10506 0.09857 0.006 -0.01755 -0.05865 -0.0187 -0.02567 -0.01676 0.33509 0.38975 -0.05207 -0.05445 0.03185 0.01125 -0.01042 -0.02636 NA 0.16663 0.18197 -0.01925 -0.01123 -0.00999 0.00363 -0.00649 -0.01797 -0.00014 -0.00838 0.02518 0.00578 -0.07643 -0.04474 -0.09644 -0.08488 -0.04101 -0.04189 0.02391 0.0176 -0.01188 -0.01268 0.24234 0.2468 0.02131 0.01813 -0.02058 -0.02301 -0.02611 -0.01912 -0.11976 -0.11276 0.01119 0.00977 -0.04023 -0.01044 0.10759 0.1386 0.00115 0.00438 -0.00569 0.09281 0.09966 0.02493 0.03779 0.03225 0.21384 0.13575
cerebellar_vermal_lobules_I_V 0.02349 0.02366 0.00078 0.01339 -0.0342 -0.03308 0.24727 -0.01415 -0.02431 -0.07667 -0.07903 0.00173 -0.01378 1 0.29088 0.29131 0.43194 0.43128 0.39395 0.39884 0.05301 -0.03663 -0.00964 -0.0012 -0.02263 -0.0179 -0.06877 -0.05802 -0.18572 0.05942 0.05675 0.03629 0.02601 -0.09771 -0.09193 -0.05959 -0.05792 0.05324 0.06066 0.00988 0.00967 -0.1032 -0.11893 -0.02088 -0.02538 -0.01809 -0.01119 -0.03625 -0.01745 -0.02038 -0.01981 -0.0133 -0.00609 NA 0.07206 0.07992 -0.00173 -0.00303 0.00126 -0.00364 -0.03358 -0.02616 -0.02181 -0.01305 -0.02069 -0.02444 0.05003 0.0228 -0.01779 -0.00115 0.02026 0.00706 -0.06404 -0.06306 -0.07627 -0.08081 0.05123 0.04822 -0.03633 -0.03837 -0.10919 -0.11499 -0.06662 -0.06255 -0.02083 -0.01507 -0.03215 -0.03462 -0.00307 -0.02224 0.06605 0.06114 0.00424 -0.02088 -0.0284 0.13714 0.1459 0.01993 0.01648 -0.06805 0.04899 -0.01513
cerebellar_vermal_lobules_VIII_X 0.01303 0.02217 0.02189 0.03111 -0.00951 -0.01246 0.25259 -0.01841 -0.02208 -0.07184 -0.07842 0.07302 0.05708 0.29088 1 0.27484 0.443 0.43662 0.35219 0.36226 0.02661 0.001 0.01068 -0.00938 0.00807 -0.0032 -0.00058 -0.0011 -0.14655 0.1153 0.11064 0.08541 0.06759 -0.02262 -0.01547 -0.03897 -0.03099 0.01288 0.00753 -0.00199 -0.01273 -0.10148 -0.11099 -0.04812 -0.05123 0.01181 0.0164 0.01597 0.00823 0.01285 0.00504 0.00755 0.00442 NA 0.06745 0.07497 -0.00889 -0.0265 0.07627 0.08665 -0.02528 -0.04107 0.0021 -0.00557 -0.01957 -0.01054 0.00836 0.00052 -0.01163 -0.0074 -0.01528 -0.0203 -0.0455 -0.04197 -0.04022 -0.03483 0.05043 0.04914 -0.03398 -0.01946 -0.07604 -0.07177 -0.04824 -0.04007 -0.02461 -0.02436 -0.00191 0.00536 0.02399 0.02736 0.10719 0.11327 -0.00051 -0.00699 -0.01444 0.19445 0.19064 0.00269 -0.00259 -0.09781 0.06667 0.15349
cerebellar_vermal_lobules_VI_VII -0.02792 -0.02644 0.00556 0.02665 0.01935 0.02423 0.14669 -0.01831 -0.01408 -0.06001 -0.06818 0.02196 0.00848 0.29131 0.27484 1 0.38576 0.36983 0.25853 0.26729 0.06847 -0.03421 -0.00999 0.00164 0.04214 0.03868 0.0242 0.02895 -0.15714 0.04923 0.04273 0.06461 0.04562 -0.03263 -0.02056 0.01095 -0.00344 -0.03132 -0.03093 -0.022 -0.05833 -0.10015 -0.10451 -0.04316 -0.04231 0.02096 0.03387 -0.00658 0.00559 -0.01949 -0.03806 0.03557 0.00226 NA 0.02869 0.03709 -0.01237 -0.02429 0.06143 0.06193 -0.02719 -0.03356 0.00956 -8e-05 -0.01102 -0.01112 0.00874 -0.00662 0.01435 -0.00926 -0.00491 -0.01383 -0.05296 -0.05501 -0.07557 -0.06506 0.02076 0.02602 -0.03297 -0.0036 -0.06045 -0.07053 -0.06468 -0.05988 -0.00946 0.00255 0.01526 0.01608 0.01821 -0.01356 0.01925 0.0288 0.00455 -0.04412 -0.03771 0.10436 0.1164 -0.00497 -0.00457 -0.13686 0.08048 0.1141
cerebellum_exterior_left 0.02156 0.01955 0.05604 0.05734 0.00212 0.01597 0.38986 -0.04125 -0.04214 -0.10134 -0.10449 0.05685 0.03346 0.43194 0.443 0.38576 1 0.92335 0.62552 0.61492 0.03989 -0.03891 0.00527 -0.00536 0.06474 0.05664 -0.01263 0.01715 -0.21742 0.08898 0.08931 0.06137 0.04658 -0.00574 0.00822 -0.02401 -0.04178 -0.01264 -0.00581 -0.04101 -0.06964 -0.18343 -0.14973 -0.05691 -0.06 0.01208 0.00365 -0.04194 -0.00532 0.02153 0.01627 0.03777 0.00976 NA 0.08296 0.09716 -0.05525 -0.05715 0.03052 0.04023 -0.05026 -0.04894 0.00728 0.01763 -0.0017 -0.01846 -0.01489 -0.01767 0.01207 -0.00063 -0.00749 -0.00891 -0.08589 -0.08168 -0.08554 -0.09047 0.05527 0.05717 -0.03912 -0.02596 -0.07294 -0.08536 -0.06923 -0.05702 -0.06929 -0.03831 0.05846 0.0254 0.069 0.0444 0.1065 0.10543 0.00664 -0.0344 -0.02036 0.25598 0.26265 -0.0051 -0.00647 -0.27678 0.07416 0.22948
cerebellum_exterior_right 0.02651 0.02516 0.05789 0.0709 -0.01048 -0.00534 0.40346 -0.04972 -0.05112 -0.09631 -0.10346 0.05298 0.02956 0.43128 0.43662 0.36983 0.92335 1 0.60188 0.63456 0.0427 -0.04271 -0.00465 -0.00757 0.06267 0.06808 -0.02702 0.01813 -0.21349 0.08411 0.0937 0.05525 0.05725 0.00085 -0.0131 -0.03456 -0.04692 -0.00609 -0.01045 -0.03738 -0.0746 -0.14156 -0.17698 -0.05452 -0.06232 0.01517 0.00069 -0.03487 -0.01262 0.01154 0.02375 0.02776 0.02594 NA 0.09594 0.09847 -0.06045 -0.05536 0.0243 0.04124 -0.05479 -0.04667 0.00668 0.01403 0.00234 -0.0163 -0.01076 -0.01701 2e-05 0.00258 -0.00175 -0.02022 -0.07895 -0.07745 -0.09467 -0.08579 0.05125 0.05115 -0.04178 -0.03334 -0.07397 -0.07524 -0.061 -0.0617 -0.06659 -0.02603 0.04084 0.03534 0.0485 0.0599 0.10695 0.10439 0.00641 -0.03465 -0.02171 0.27319 0.26743 -0.00505 -0.00966 -0.27297 0.06482 0.23807
cerebellum_white_matter_left 0.10703 0.10045 0.00817 0.03109 0.00448 0.01166 0.72821 -0.06044 -0.03372 -0.13718 -0.1422 0.03811 -0.01395 0.39395 0.35219 0.25853 0.62552 0.60188 1 0.94243 0.03082 -0.0203 -0.00014 -0.00391 -0.04095 -0.05683 -0.07251 -0.06135 -0.30951 0.0955 0.10045 -0.01829 -0.01623 -0.0302 -0.03332 -0.13927 -0.14289 0.00932 0.01156 -0.02072 -0.03561 -0.15164 -0.16312 -0.09391 -0.09758 -0.10471 -0.1097 -0.07107 -0.04355 0.02203 0.02697 -0.05807 -0.08682 NA 0.25852 0.27484 -0.05261 -0.03006 0.00775 0.00868 -0.05502 -0.06132 -0.01011 -0.01071 6e-04 0.0012 -0.01411 -0.00839 -0.0421 -0.02546 -0.03739 -0.04212 -0.08231 -0.07989 -0.08318 -0.07615 0.11748 0.11253 -0.06908 -0.05588 -0.11221 -0.12179 -0.10551 -0.11422 -0.09057 -0.07147 -0.0602 -0.08678 -0.00742 -0.0188 0.26296 0.2407 0.00823 -0.04285 -0.03697 0.51664 0.50917 0.00617 -0.00781 0.0734 -0.04859 0.03856
cerebellum_white_matter_right 0.09349 0.083 0.01021 0.0359 -0.00282 0.00666 0.71354 -0.05654 -0.03625 -0.1387 -0.13954 0.03333 -0.01492 0.39884 0.36226 0.26729 0.61492 0.63456 0.94243 1 0.0359 -0.01777 -0.00607 -0.00393 -0.0372 -0.05362 -0.07288 -0.05802 -0.326 0.10114 0.10654 -0.01129 -0.0069 -0.03393 -0.03703 -0.13949 -0.14496 0.0091 0.00795 -0.01989 -0.0335 -0.15349 -0.17405 -0.09287 -0.10113 -0.09829 -0.10317 -0.06591 -0.04115 0.02105 0.02427 -0.05691 -0.07192 NA 0.24383 0.25494 -0.05384 -0.02853 0.01174 0.01278 -0.05357 -0.06267 -0.00622 -0.01432 -6e-05 -0.00114 -0.00716 -0.00105 -0.04468 -0.02721 -0.0314 -0.04457 -0.0915 -0.08288 -0.09023 -0.06982 0.10365 0.09654 -0.06259 -0.0581 -0.11796 -0.12595 -0.10218 -0.11892 -0.09186 -0.07598 -0.06631 -0.07978 -0.01743 -0.02195 0.25198 0.22889 0.00598 -0.0388 -0.03412 0.5109 0.49034 9e-05 -0.0079 0.05895 -0.03738 0.05429
