accumbens_area_left accumbens_area_right amygdala_left amygdala_right basal_forebrain_left basal_forebrain_right Brain_stem caudal_anterior_cingulate_left caudal_anterior_cingulate_right caudal_middle_frontal_left caudal_middle_frontal_right caudate_left caudate_right cerebellar_vermal_lobules_I_V cerebellar_vermal_lobules_VIII_X cerebellar_vermal_lobules_VI_VII cerebellum_exterior_left cerebellum_exterior_right cerebellum_white_matter_left cerebellum_white_matter_right CSF cuneus_left cuneus_right depression entorhinal_left entorhinal_right fusiform_left fusiform_right gray_matter hippocampus_left hippocampus_right inferior_lateral_ventricle_left inferior_lateral_ventricle_right inferior_parietal_left inferior_parietal_right inferior_temporal_left inferior_temporal_right insula_left insula_right isthmus_cingulate_left isthmus_cingulate_right lateral_occipital_left lateral_occipital_right lateral_orbitofrontal_left lateral_orbitofrontal_right lateral_ventricle_left lateral_ventricle_right lingual_left lingual_right medial_orbitofrontal_left medial_orbitofrontal_right middle_temporal_left middle_temporal_right optic_chiasm pallidum_left pallidum_right paracentral_left paracentral_right parahippocampal_left parahippocampal_right pars_opercularis_left pars_opercularis_right pars_orbitalis_left pars_orbitalis_right pars_triangularis_left pars_triangularis_right pericalcarine_left pericalcarine_right postcentral_left postcentral_right posterior_cingulate_left posterior_cingulate_right precentral_left precentral_right precuneus_left precuneus_right putamen_left putamen_right rostral_anterior_cingulate_left rostral_anterior_cingulate_right rostral_middle_frontal_left rostral_middle_frontal_right superior_frontal_left superior_frontal_right superior_parietal_left superior_parietal_right superior_temporal_left superior_temporal_right supramarginal_left supramarginal_right thalamus_proper_left thalamus_proper_right total_brain_volume transverse_temporal_left transverse_temporal_right ventral_DC_left ventral_DC_right vessel_left vessel_right white_matter X3rd_ventricle X4th_ventricle
CSF -0.0551 -0.05368 -0.01659 -0.00593 0.08846 0.05716 0.01021 0.05863 0.09715 -0.05044 -0.04996 -0.02455 -0.02712 0.05301 0.02661 0.06847 0.03989 0.0427 0.03082 0.0359 1 0.02289 0.01701 0.00151 -0.04328 -0.0519 0.0773 0.06705 -0.06738 -0.00724 -0.02562 -0.01172 -0.00515 -0.06464 -0.03695 0.01566 0.01156 0.06685 0.06032 0.03001 0.01944 -0.02031 -0.00244 0.03689 0.03799 0.04208 0.05925 0.03899 0.06338 0.01851 0.06183 0.00587 0.02108 NA -0.0191 -0.02652 -0.03199 -0.02675 0.03213 0.0018 -0.01869 -0.02375 0.04463 0.03652 -0.01656 0.00767 0.06298 0.04148 -0.03207 -0.03695 0.09708 0.11226 -0.05729 -0.06202 -0.02071 -0.01898 -0.04518 -0.03938 0.0475 0.06427 -0.03036 -0.02191 -0.03209 -0.04984 -0.04316 -0.05321 -0.00881 -0.0227 -0.00639 0.01568 0.04654 0.06151 0.00156 0.03428 0.0401 -0.01272 -0.01255 0.00273 0.00268 -0.08425 0.09243 -0.00643
cuneus_left 0.0597 0.07005 0.04143 0.05943 0.00373 -0.00982 0.02288 0.06827 0.09404 0.05469 0.01495 -0.03494 -0.06782 -0.03663 0.001 -0.03421 -0.03891 -0.04271 -0.0203 -0.01777 0.02289 1 0.44847 -0.00785 0.02437 0.01875 0.03132 0.05874 0.15141 0.04932 0.0543 -0.02908 0.01198 -0.08143 -0.07599 0.04141 0.06999 0.0585 0.03611 -0.01849 0.0193 0.29817 0.14219 0.06534 0.05288 -0.11147 -0.14772 0.33627 0.26174 0.02538 0.04705 -0.05219 0.05256 NA 0.0585 0.04007 0.05634 0.05972 0.0455 0.05173 0.04508 0.0335 -0.00491 0.01289 0.04426 0.06267 0.35249 0.324 0.08414 0.0794 0.08206 0.09838 0.03656 9e-04 0.11236 0.15903 0.04155 0.04291 0.03338 0.05696 0.04196 0.03413 0.06943 0.0503 0.08621 0.04804 0.0584 0.09587 0.03561 0.11901 0.06538 0.0522 0.00335 0.07172 0.08547 0.01252 0.01137 -0.01004 -0.03066 0.0284 -0.0588 -0.08209
cuneus_right 0.06329 0.04934 0.05397 0.04803 0.01046 0.01856 0.01902 0.07422 0.04103 0.02996 0.01114 -0.03639 -0.05093 -0.00964 0.01068 -0.00999 0.00527 -0.00465 -0.00014 -0.00607 0.01701 0.44847 1 -0.00997 0.03913 0.01678 0.08672 0.07187 0.13522 0.03833 0.0279 -0.01 -0.00812 -0.05479 -0.06673 0.0922 0.07413 0.03041 0.04701 0.03507 -0.09352 0.18887 0.26892 0.05975 0.06299 -0.14405 -0.11413 0.2533 0.33739 0.03453 0.00921 0.01405 -0.00897 NA 0.0372 0.03364 0.02431 0.06513 0.08799 0.05659 0.03547 0.04426 0.018 0.00317 0.06273 0.05675 0.27445 0.4536 0.08899 0.05557 0.08757 0.0743 0.02317 0.03208 0.09926 0.11365 0.03242 0.03981 0.04497 0.02226 0.03771 0.00544 0.05845 0.07008 0.06451 0.10213 0.11702 0.07993 0.065 0.05507 0.05881 0.05044 3e-05 0.09269 0.07314 -0.00123 0.01901 -0.02001 -0.01849 0.00273 -0.02798 -0.06095
depression 0.00486 0.00459 -0.00297 -0.007 0.00198 0.00256 -0.00271 -0.00396 0.00164 -0.00792 -9e-04 -0.00084 1e-04 -0.0012 -0.00938 0.00164 -0.00536 -0.00757 -0.00391 -0.00393 0.00151 -0.00785 -0.00997 1 0.00012 -0.00204 -0.00373 -0.01461 -0.00213 0.00478 0.00607 -0.00424 -0.00377 0.00746 0.00627 0.00441 0.00198 -0.00562 -0.00313 0.00206 -7e-05 0.00215 8e-04 -0.00229 -0.00263 0.00128 -0.00163 -0.01098 -0.01135 0.00856 0.00487 0.00609 0.0091 0.00304 -0.00287 -0.00363 -0.00696 -0.00095 0.00344 0.00139 0.00323 -0.00956 0.002 0.00287 0.00202 0.00285 -0.00385 -0.00389 -0.00507 -0.005 0.00146 0.0033 2e-05 -0.00346 0.00692 0.00432 0.00675 0.00364 0.00453 -0.00305 0.00197 0.00182 -0.00043 0.00284 -0.00799 -0.00222 -0.00365 0.00066 -0.00063 -0.00187 -0.00272 -0.0011 -0.0092 0.00053 0.00203 2e-05 -0.00197 -0.005 -0.00054 0.00149 -0.00298 -0.00803
entorhinal_left 0.03229 0.02921 0.24295 0.18245 0.09672 0.0768 -0.01059 -0.0277 -0.02529 0.06874 0.04613 -0.04839 -0.05449 -0.02263 0.00807 0.04214 0.06474 0.06267 -0.04095 -0.0372 -0.04328 0.02437 0.03913 0.00012 1 0.668 0.0266 0.05683 0.11525 0.20428 0.17009 0.04816 0.07984 0.03117 0.07075 0.30433 0.28597 -0.07967 -0.06747 0.03698 0.02077 0.00135 0.07498 0.04365 0.01052 -0.10342 -0.09186 0.04454 0.0449 -0.00912 -0.04127 0.20874 0.20119 NA 0.004 0.00165 0.00036 -0.00262 0.08623 0.05365 0.01595 0.01421 -0.0251 -0.03286 -0.04273 -0.03349 0.02714 0.026 0.06971 0.03722 0.00908 0.00801 0.02813 0.02884 -0.00407 -0.01639 0.01644 0.01817 -0.05901 -0.02862 -0.01899 -0.00215 0.02326 0.00627 0.09655 0.10662 0.23452 0.2395 0.05864 0.01461 -0.05715 -0.06278 -0.00353 -0.07148 -0.06135 0.02525 0.0249 0.03961 0.02624 -0.18266 -0.03808 0.04765
entorhinal_right 0.01786 0.01645 0.17975 0.20686 0.09158 0.10737 -0.01915 -0.05464 -0.04957 0.05157 0.04713 -0.08028 -0.08828 -0.0179 -0.0032 0.03868 0.05664 0.06808 -0.05683 -0.05362 -0.0519 0.01875 0.01678 -0.00204 0.668 1 0.04654 0.08032 0.12006 0.11924 0.16582 0.02338 0.0938 0.07172 0.04852 0.30914 0.32173 -0.11711 -0.10603 0.01234 -0.00146 0.08087 -0.0112 0.07745 0.02583 -0.0922 -0.09955 0.00737 0.02527 -0.03265 -0.06005 0.21415 0.2007 NA -0.02048 -0.01759 0.00612 -0.01464 0.0497 0.06015 -0.00822 0.00984 -0.01587 -0.01881 -0.03565 -0.03066 0.01149 0.01261 0.07136 0.06473 -0.01869 -0.01295 0.02093 0.01471 -0.00074 -0.02941 -0.02044 -0.01312 -0.08046 -0.04217 0.01796 -5e-05 0.02973 0.0307 0.11664 0.12716 0.21294 0.29786 0.07144 0.01864 -0.09533 -0.10443 -0.00271 -0.08712 -0.08147 -0.00209 0.0289 0.02668 0.01048 -0.24551 -0.05232 0.03649
fusiform_left 0.03009 0.03561 0.09709 0.07977 0.00536 0.01642 -0.07268 0.11357 0.08508 0.01044 0.00638 -0.00751 -0.01387 -0.06877 -0.00058 0.0242 -0.01263 -0.02702 -0.07251 -0.07288 0.0773 0.03132 0.08672 -0.00373 0.0266 0.04654 1 0.53711 0.21998 0.02356 -0.0027 -0.03233 -0.02144 0.09614 0.16436 0.15684 0.19564 0.11952 0.1067 0.10288 0.06499 0.03758 0.15601 0.10691 0.11581 -0.03764 -0.01108 0.13251 0.22219 0.09854 0.09121 0.12506 0.13393 NA -0.0289 -0.03921 0.09887 0.10084 0.07549 0.07891 0.03608 0.04262 0.0737 0.05006 0.01165 0.03135 0.02521 0.03312 0.0782 0.05835 0.15797 0.14859 0.03687 0.03184 0.14438 0.12002 0.01822 0.02119 0.11403 0.09368 0.05512 0.04745 0.08187 0.07444 0.02995 0.01622 0.25154 0.20188 0.12827 0.10646 0.02489 0.02324 0.00398 0.0635 0.06832 -0.03721 -0.03136 -0.0148 0.00625 -0.05728 -0.01221 0.05352
fusiform_right 0.03932 0.0262 0.06391 0.07962 -0.00263 0.00971 -0.04989 0.11368 0.08422 0.00342 0.01226 -0.01416 -0.02236 -0.05802 -0.0011 0.02895 0.01715 0.01813 -0.06135 -0.05802 0.06705 0.05874 0.07187 -0.01461 0.05683 0.08032 0.53711 1 0.22325 0.02278 0.00531 -0.01038 0.03437 0.11264 0.13148 0.22627 0.18965 0.08956 0.09883 0.07245 0.01427 0.08881 0.06481 0.10967 0.08952 -0.00989 -0.01985 0.19821 0.12442 0.09586 0.08764 0.14716 0.11585 NA -0.02144 -0.02452 0.09493 0.0985 0.07755 0.01642 0.02066 0.04769 0.04653 0.06011 0.00279 0.02336 -0.0055 0.00293 0.07817 0.08405 0.14767 0.1659 0.03976 0.03136 0.12135 0.13848 0.01409 0.02579 0.10434 0.1004 0.06606 0.03062 0.07402 0.09912 0.0147 0.04135 0.25953 0.24124 0.12068 0.11213 0.02495 0.02388 -0.00441 0.052 0.06552 -0.01769 -0.00198 -0.02846 -0.00597 -0.08811 -0.01783 0.04638
gray_matter 0.17359 0.16051 0.113 0.09452 0.03159 0.02954 -0.1687 0.19191 0.11709 0.14482 0.14405 -0.12897 -0.14143 -0.18572 -0.14655 -0.15714 -0.21742 -0.21349 -0.30951 -0.326 -0.06738 0.15141 0.13522 -0.00213 0.11525 0.12006 0.21998 0.22325 1 0.01044 0.03897 -0.18414 -0.13021 0.18312 0.18089 0.27668 0.29282 0.20902 0.20844 0.20567 0.17735 0.2751 0.30368 0.22359 0.25455 -0.20396 -0.20298 0.20198 0.19645 0.19583 0.21534 0.22482 0.25193 NA -0.0734 -0.09786 0.13379 0.1332 0.11177 0.11345 0.13733 0.12962 0.1 0.1294 0.07807 0.07719 0.05238 0.07049 0.09282 0.10959 0.24983 0.22005 0.15848 0.16008 0.24803 0.245 0.0041 0.00175 0.19283 0.11291 0.22986 0.22407 0.24338 0.2745 0.11706 0.11688 0.20902 0.20327 0.16756 0.18062 0.00931 -0.01482 -0.00639 0.09695 0.08897 -0.1862 -0.17685 -0.02424 -0.04225 -0.32697 -0.19911 -0.16858
hippocampus_left 0.09333 0.09505 0.34333 0.27111 -0.03706 -0.03163 0.1641 0.05133 0.00137 -0.00851 0.01063 0.17295 0.14846 0.05942 0.1153 0.04923 0.08898 0.08411 0.0955 0.10114 -0.00724 0.04932 0.03833 0.00478 0.20428 0.11924 0.02356 0.02278 0.01044 1 0.82501 0.27647 0.28445 -0.02862 0.00744 0.05087 0.0525 0.14279 0.12925 0.16856 0.13406 -0.05646 0.00116 -0.02805 -0.00432 0.03512 0.05255 0.07609 0.09596 0.06591 0.02618 0.07286 0.06859 NA 0.14513 0.1428 0.04228 0.04661 0.22433 0.17279 0.01218 -0.00087 -3e-05 -0.00995 0.00011 -0.00041 0.06859 0.06509 -0.06193 -0.03575 0.08174 0.05751 0.00743 0.01127 0.11485 0.10149 0.16543 0.16602 0.04025 0.03014 -0.07137 -0.06997 -0.00971 0.01319 -0.03885 -0.04666 0.14368 0.12922 -0.01483 0.00414 0.23232 0.24739 -8e-04 0.03192 0.02328 0.2857 0.2826 0.01984 0.01695 0.05512 0.14909 0.08837
hippocampus_right 0.11524 0.11394 0.30298 0.34463 -0.05388 -0.03756 0.17664 0.05809 0.00798 -0.01503 0.02485 0.15944 0.12979 0.05675 0.11064 0.04273 0.08931 0.0937 0.10045 0.10654 -0.02562 0.0543 0.0279 0.00607 0.17009 0.16582 -0.0027 0.00531 0.03897 0.82501 1 0.2096 0.28737 0.00971 -0.00052 0.03212 0.0805 0.15375 0.15578 0.13506 0.17032 -0.01683 -0.03714 -0.00473 -0.01314 0.01379 -0.02337 0.07103 0.09622 0.08271 0.02264 0.07053 0.09653 NA 0.15411 0.15225 0.05573 0.05584 0.2138 0.23018 0.01705 -0.001 -0.00695 -0.00592 0.01953 0.01443 0.03861 0.04664 -0.06525 -0.03497 0.08976 0.07592 0.00467 0.02128 0.11401 0.12223 0.17527 0.17647 0.04264 0.03008 -0.0436 -0.08123 -0.00011 0.02118 -0.04216 -0.04322 0.12183 0.161 -0.00696 0.01885 0.24165 0.25015 0.00217 0.03824 0.05438 0.27968 0.29843 0.03243 0.0167 0.06337 0.10475 0.084
inferior_lateral_ventricle_left -0.19429 -0.16822 0.04585 0.02332 -0.02332 -0.00862 -0.03696 -0.03483 -0.05922 -0.00404 0.00494 0.12659 0.1923 0.03629 0.08541 0.06461 0.06137 0.05525 -0.01829 -0.01129 -0.01172 -0.02908 -0.01 -0.00424 0.04816 0.02338 -0.03233 -0.01038 -0.18414 0.27647 0.2096 1 0.53648 -0.10757 -0.07037 0.00902 0.00144 -0.03239 -0.04475 0.01689 0.00904 -0.14052 -0.09961 -0.11829 -0.10699 0.3855 0.38111 -0.01281 0.002 -0.03905 -0.10675 0.02349 0.00804 NA -0.04354 -0.04278 -0.00439 -0.03518 -0.01941 -0.0156 -0.0054 0.00368 -0.06132 -0.06235 -0.04303 -0.03906 -0.00099 0.0106 -0.03453 -0.04327 -0.05726 -0.05652 -0.00234 0.00455 -0.03049 -0.02944 -0.01446 -0.0058 -0.03939 -0.00982 -0.12915 -0.10399 -0.07628 -0.07376 -0.04468 -0.04417 0.0167 0.02676 -0.0524 -0.03747 -0.02797 0.03385 -0.00347 -0.01202 -0.00145 0.07452 0.08015 0.00531 0.01039 -0.08003 0.42487 0.23771
inferior_lateral_ventricle_right -0.15805 -0.15224 0.03996 0.08942 -0.03027 -0.03176 -0.02374 -0.01139 -0.01171 0.00231 0.02421 0.10015 0.14382 0.02601 0.06759 0.04562 0.04658 0.05725 -0.01623 -0.0069 -0.00515 0.01198 -0.00812 -0.00377 0.07984 0.0938 -0.02144 0.03437 -0.13021 0.28445 0.28737 0.53648 1 -0.06416 -0.09921 -0.0169 0.02258 -0.02941 -0.05407 0.01994 0.0515 -0.04386 -0.14857 -0.07446 -0.10661 0.29185 0.26912 0.03804 0.04266 -0.02954 -0.08987 0.01142 0.03037 NA -0.04758 -0.0437 0.01867 -0.01988 -0.04343 -0.0272 0.00904 0.03468 -0.04379 -0.04974 -0.03119 -0.03887 0.03198 0.01752 -0.03208 -0.01758 -0.04507 -0.02959 0.01241 0.02071 0.00403 0.0155 -0.01694 -0.00817 -0.0236 0.00971 -0.0864 -0.10997 -0.06011 -0.05494 -0.03035 -0.02774 0.03082 0.08086 -0.04966 -0.01335 -0.00136 0.02766 0.00128 -0.0321 -0.014 0.05538 0.06419 0.00906 -0.00514 -0.07018 0.32595 0.16825
inferior_parietal_left 0.06997 0.08124 0.03209 0.06512 0.05954 0.05422 -0.01467 0.01761 0.05313 -0.03596 -0.04968 0.06279 0.03604 -0.09771 -0.02262 -0.03263 -0.00574 0.00085 -0.0302 -0.03393 -0.06464 -0.08143 -0.05479 0.00746 0.03117 0.07172 0.09614 0.11264 0.18312 -0.02862 0.00971 -0.10757 -0.06416 1 0.52115 0.13301 0.18221 0.12394 0.09926 0.07363 0.04444 0.17238 0.0749 0.09102 0.09615 -0.01416 -0.05609 -0.03197 -0.05689 0.10603 0.14835 0.2316 0.23662 NA 0.03281 0.02612 -0.10419 -0.05954 0.04262 0.10691 0.04633 0.03418 0.06973 0.06547 -0.00629 -0.01904 -0.12808 -0.05361 0.13858 0.13899 0.07866 0.08612 0.01773 0.00288 0.12992 0.12334 0.05558 0.05066 0.05398 0.0805 0.12584 0.104 0.08456 0.08978 -0.20758 -0.12867 0.09754 0.1336 0.11347 0.21925 0.03286 0.01437 0.00378 -0.104 -0.07797 0.00016 0.00177 0.0332 0.01994 -0.08917 -0.05562 -0.0242
inferior_parietal_right 0.06944 0.05468 0.07995 0.05235 0.02999 0.04932 -0.02358 0.02338 0.0266 -0.03099 -0.01312 0.04679 0.04826 -0.09193 -0.01547 -0.02056 0.00822 -0.0131 -0.03332 -0.03703 -0.03695 -0.07599 -0.06673 0.00627 0.07075 0.04852 0.16436 0.13148 0.18089 0.00744 -0.00052 -0.07037 -0.09921 0.52115 1 0.19542 0.14993 0.06626 0.09525 0.03668 0.05688 0.04799 0.20149 0.08578 0.09633 -0.02683 -0.00912 -0.05804 -0.04084 0.10675 0.10035 0.22991 0.17248 NA 0.01399 0.02366 -0.07666 -0.04617 0.07978 0.06835 0.03435 0.03506 0.05995 0.05353 -0.02113 -0.02399 -0.08492 0.00254 0.18618 0.14149 0.08233 0.08456 0.0347 0.05183 0.07451 0.06965 0.04381 0.04785 0.06703 0.0546 0.1422 0.14137 0.12121 0.08743 -0.1154 -0.18419 0.19127 0.12486 0.25273 0.02665 0.039 0.03005 0.00043 -0.09926 -0.09518 0.00352 -0.0019 0.00896 0.03065 -0.07864 -0.04538 -0.00329
inferior_temporal_left 0.02447 0.01155 0.12446 0.10608 0.07635 0.09269 -0.11922 0.0094 0.0211 0.05963 0.07944 -0.07509 -0.07097 -0.05959 -0.03897 0.01095 -0.02401 -0.03456 -0.13927 -0.13949 0.01566 0.04141 0.0922 0.00441 0.30433 0.30914 0.15684 0.22627 0.27668 0.05087 0.03212 0.00902 -0.0169 0.13301 0.19542 1 0.52799 0.01859 0.02648 0.03705 0.03062 0.03724 0.17314 0.15494 0.15052 -0.11624 -0.10769 0.06029 0.10452 0.04902 0.00672 0.33493 0.33695 NA -0.08118 -0.08693 0.02392 0.02352 0.14998 0.09119 0.02591 0.04023 0.04097 0.02134 0.00198 0.00143 0.00729 0.01283 0.12197 0.07195 0.08396 0.0749 0.07632 0.08006 0.02943 0.03458 -0.01678 -0.013 0.0123 0.01172 0.07375 0.07712 0.15749 0.11048 0.12772 0.11901 0.31719 0.30429 0.14993 0.09065 -0.05197 -0.05617 -0.00209 -0.01346 0.00552 -0.09587 -0.09586 -0.00547 -0.00884 -0.21304 -0.06678 -0.02072
inferior_temporal_right 0.05164 0.05138 0.11663 0.11865 0.07252 0.06491 -0.10298 -0.01639 0.01196 0.06743 0.06353 -0.05343 -0.06162 -0.05792 -0.03099 -0.00344 -0.04178 -0.04692 -0.14289 -0.14496 0.01156 0.06999 0.07413 0.00198 0.28597 0.32173 0.19564 0.18965 0.29282 0.0525 0.0805 0.00144 0.02258 0.18221 0.14993 0.52799 1 0.03434 0.05251 0.05771 0.01917 0.14079 0.05077 0.14652 0.13241 -0.10913 -0.11114 0.08797 0.08844 0.04327 0.02384 0.33936 0.35017 NA -0.0551 -0.07028 0.06256 0.06604 0.11966 0.13462 0.02032 0.03974 0.0059 0.01854 -0.00147 -0.00725 -0.01181 -0.01402 0.08678 0.08631 0.06685 0.08875 0.09504 0.06497 0.07473 0.07463 -0.00539 0.00544 0.0044 0.03017 0.06614 0.03646 0.11839 0.15079 0.09896 0.10766 0.31047 0.31857 0.11932 0.10861 -0.03281 -0.02506 -0.00852 0.00299 -0.01859 -0.07561 -0.05317 0.00627 -0.01081 -0.1885 -0.04312 -0.00632
insula_left 0.15778 0.16636 0.15741 0.15811 0.00888 0.00533 0.04052 0.21962 0.10114 0.02561 0.06583 0.12794 0.10506 0.05324 0.01288 -0.03132 -0.01264 -0.00609 0.00932 0.0091 0.06685 0.0585 0.03041 -0.00562 -0.07967 -0.11711 0.11952 0.08956 0.20902 0.14279 0.15375 -0.03239 -0.02941 0.12394 0.06626 0.01859 0.03434 1 0.8359 0.19811 0.17562 0.07861 0.0262 0.12849 0.17426 -0.05339 -0.07084 0.07473 0.0831 0.23009 0.28091 0.01848 0.06685 NA 0.12055 0.10806 0.14444 0.1565 0.09637 0.09729 0.09729 0.07252 0.07272 0.09739 0.21103 0.16052 -0.0214 0.00227 -0.07547 -0.05116 0.24301 0.20855 0.06428 0.04905 0.19279 0.2144 0.28171 0.27853 0.22133 0.13089 -0.03621 -0.0093 0.17146 0.20582 -0.08024 -0.10653 0.11033 0.13731 0.01675 0.11474 0.15901 0.14685 0.0104 0.25047 0.20347 0.03827 0.03985 0.04052 0.02236 0.0275 0.00328 -0.05292
insula_right 0.17132 0.15603 0.16052 0.16014 -0.00358 0.00435 0.0418 0.21385 0.08565 0.01234 0.08006 0.10646 0.09857 0.06066 0.00753 -0.03093 -0.00581 -0.01045 0.01156 0.00795 0.06032 0.03611 0.04701 -0.00313 -0.06747 -0.10603 0.1067 0.09883 0.20844 0.12925 0.15578 -0.04475 -0.05407 0.09926 0.09525 0.02648 0.05251 0.8359 1 0.17865 0.17558 0.01983 0.09581 0.15721 0.13545 -0.09104 -0.08885 0.03859 0.0857 0.23335 0.25859 0.0141 0.0365 NA 0.115 0.11123 0.1298 0.15436 0.08494 0.08913 0.09245 0.06336 0.08726 0.06371 0.18358 0.2002 -0.02093 0.00805 -0.05368 -0.03861 0.2207 0.19711 0.08688 0.06673 0.15735 0.19682 0.2711 0.28252 0.21027 0.12076 -0.00927 -0.02525 0.15867 0.20681 -0.08417 -0.0943 0.14112 0.14617 0.03817 0.0766 0.15746 0.14647 0.00634 0.25224 0.22028 0.03709 0.04659 0.03824 0.03733 0.03238 -0.01477 -0.0622
isthmus_cingulate_left 0.08651 0.09389 0.07183 0.06989 0.03527 0.01041 0.02395 0.19547 0.08961 0.03081 0.0302 0.01857 0.006 0.00988 -0.00199 -0.022 -0.04101 -0.03738 -0.02072 -0.01989 0.03001 -0.01849 0.03507 0.00206 0.03698 0.01234 0.10288 0.07245 0.20567 0.16856 0.13506 0.01689 0.01994 0.07363 0.03668 0.03705 0.05771 0.19811 0.17865 1 0.4845 0.101 0.07402 0.06945 0.12254 -0.16725 -0.11263 0.15379 0.20367 0.13419 0.16151 0.11172 0.1 NA 0.02246 0.03377 0.02122 0.1179 0.07476 0.08706 0.08744 0.06905 0.09083 0.04614 0.03097 0.01703 0.07409 0.0412 0.01205 0.04304 0.19455 0.17636 0.00775 0.00537 0.37147 0.34213 0.08232 0.08396 0.16339 0.12243 -0.00329 0.01802 0.02087 0.09763 0.03985 0.04005 0.05249 0.04015 0.03787 0.0565 0.08971 0.08773 0.00202 0.09801 0.06607 0.02735 0.051 -0.00474 0.01233 0.012 0.04505 -0.02405
isthmus_cingulate_right 0.06733 0.05197 0.05845 0.05661 0.00392 -0.00726 0.01039 0.17101 0.09955 0.01752 0.07013 0.007 -0.01755 0.00967 -0.01273 -0.05833 -0.06964 -0.0746 -0.03561 -0.0335 0.01944 0.0193 -0.09352 -7e-05 0.02077 -0.00146 0.06499 0.01427 0.17735 0.13406 0.17032 0.00904 0.0515 0.04444 0.05688 0.03062 0.01917 0.17562 0.17558 0.4845 1 0.07006 0.1293 0.1075 0.10089 -0.08393 -0.1537 0.14281 0.13462 0.14236 0.12637 0.07145 0.12047 NA 0.01621 0.0112 0.07169 -0.00873 0.07096 0.0748 0.05007 0.06993 0.07048 0.07063 0.02383 0.03295 0.11313 0.03109 0.01516 0.04106 0.18826 0.12089 0.02756 0.04055 0.27673 0.29068 0.06587 0.06773 0.13671 0.08852 0.01513 -0.00536 0.0604 0.03715 0.03427 -0.00908 0.0208 0.02779 0.03156 0.038 0.08182 0.06653 0.00164 0.07491 0.08718 0.03115 0.02134 -0.00756 -0.00078 0.04962 0.0413 -0.04224
lateral_occipital_left 0.04957 0.08389 -0.00463 0.05753 0.0981 0.07087 -0.05908 0.02 0.05388 0.08024 0.01273 -0.00924 -0.05865 -0.1032 -0.10148 -0.10015 -0.18343 -0.14156 -0.15164 -0.15349 -0.02031 0.29817 0.18887 0.00215 0.00135 0.08087 0.03758 0.08881 0.2751 -0.05646 -0.01683 -0.14052 -0.04386 0.17238 0.04799 0.03724 0.14079 0.07861 0.01983 0.101 0.07006 1 0.2757 0.11614 0.13677 -0.0335 -0.07863 0.31093 0.22107 0.06379 0.1463 0.06995 0.14861 NA 0.04372 0.02845 0.0143 -0.00645 -0.00228 0.07727 0.02853 0.01989 0.0599 0.09181 0.12342 0.09896 0.21386 0.18608 0.06036 0.10992 0.03877 0.07102 0.07866 0.02497 0.13957 0.1008 0.03797 0.03288 0.02817 0.0335 0.11632 0.0888 0.08522 0.12105 0.06649 0.10416 0.01902 0.08404 0.04838 0.18844 0.04645 0.02173 0.00207 0.08743 0.06206 -0.05476 -0.04027 0.03004 -0.00958 -0.03334 -0.10866 -0.10865
lateral_occipital_right 0.08804 0.0335 0.08616 0.01151 0.06054 0.09217 -0.08375 0.05188 0.03572 0.05991 0.07642 -0.02542 -0.0187 -0.11893 -0.11099 -0.10451 -0.14973 -0.17698 -0.16312 -0.17405 -0.00244 0.14219 0.26892 8e-04 0.07498 -0.0112 0.15601 0.06481 0.30368 0.00116 -0.03714 -0.09961 -0.14857 0.0749 0.20149 0.17314 0.05077 0.0262 0.09581 0.07402 0.1293 0.2757 1 0.10753 0.10476 -0.07291 -0.01861 0.21552 0.2606 0.1258 0.07479 0.12317 0.07585 NA 0.02926 0.00654 -0.04152 0.01812 0.10536 0.01088 0.04026 0.01294 0.08111 0.07129 0.11379 0.11211 0.20783 0.25323 0.15862 0.08296 0.08651 0.04196 0.03255 0.08078 0.08367 0.08342 0.03945 0.04236 0.0793 0.01139 0.14701 0.13267 0.13762 0.09737 0.08258 0.06096 0.12985 -0.01002 0.1493 0.06138 0.05549 0.05332 -0.00344 0.06329 0.02351 -0.04845 -0.0695 0.00892 0.0202 -0.02393 -0.10857 -0.10985
lateral_orbitofrontal_left 0.08046 0.0571 0.1039 0.11132 0.1459 0.10893 -0.07075 0.10918 0.08836 0.10636 0.13337 -0.01552 -0.02567 -0.02088 -0.04812 -0.04316 -0.05691 -0.05452 -0.09391 -0.09287 0.03689 0.06534 0.05975 -0.00229 0.04365 0.07745 0.10691 0.10967 0.22359 -0.02805 -0.00473 -0.11829 -0.07446 0.09102 0.08578 0.15494 0.14652 0.12849 0.15721 0.06945 0.1075 0.11614 0.10753 1 0.65335 -0.09139 -0.1066 0.08636 0.06587 0.18313 0.17679 0.10253 0.15212 NA -0.04515 -0.06152 0.12181 0.11088 0.06335 0.03485 0.10629 0.10414 0.17767 0.17684 -0.00777 0.06581 0.01925 0.01534 0.01555 0.00269 0.09549 0.1056 0.12195 0.12498 0.10886 0.09783 -0.00303 -0.00081 0.16008 0.14864 0.17852 0.14175 0.17088 0.18078 0.10049 0.10256 0.14778 0.15141 0.05389 0.05557 0.03982 0.00806 0.0014 0.08177 0.06254 -0.07246 -0.08356 -0.00934 -0.02216 -0.09524 -0.05822 -0.08162
